Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|в местах наибольшей выпуклости поверхности проводника.
Сформулируйте закон сохранения заряда.|В любой электрически изолированной системе тел алгебраическая сумма зарядов этих тел не изменяется во времени
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|так как магнитные силы направлены не по прямой ,соединяющей заряд с источником магнитного поля.
Что такое собственная энергия заряда?|это взаимная энергия всех его бесконечно малых элементов.
Какую форму имеют эквипотенциальные поверхности в проводнике?|похожи на его поверхности.
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|изменение направлений и величин
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|Работа ионов в электролите равна UIt
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|измерение векторов поля при помощи полостей.
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|Силовые линии напряженности в одной точке направлены противоположно направления касательной к вектору потенциала в этой точке.
Какой физический смысл дивергенции поля?|характеризует потенциальное поле .
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|сильно влияет на смещения доменных границ и поворота доменов.
Как связаны закон Кулона и масса покоя фотона?|из закона Кулона можно определить массу покоя фотона.
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|электрическое поле
Перечислите основные свойства заряда.|заряд инвариантен,сохраняется,аддитивен,дискретен.Одноимённые заряды отталкиваются,а разные -притягиваются.
Что такое точечный электрический диполь?|это система двух одинаковых по величине разноимённых точечных зарядов ,расстояние между которыми значительно меньше чем расстояние до тех точек,в которых определяется поле системы.
Что называют точкой Кюри для ферромагнетиков?|это температура при которой области спонтанного намагничения распадаются и вещество утрачивает ферромагнитные свойства.
Сформулируйте теорему Ирншоу.|Всякая равновесная конфигурация покоящихся точечных электрических зарядов неустойчива ,если на них кроме кулоновских сил притяжения и отталкивания ,никакие другие силы не действуют.
