При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|Зачем я открыл этот тест D:
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |Это была моя главная ошибка
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|Кольцо Ньютона
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |Уменьшиться в 2 раза
Какое явление показывает поперечность световыхволн? |Явление интерференции
Чем фундаментально интерференция отличается отдифракции?|ничем
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |Желтому цвету
Как называют среды с постоянным коэффициентомпреломления?|Оптически однородными
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |Кинетическая-увеличится, потенциальная-уменьшится
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|Четное число зон Френеля
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|Поглощательная способность
Для света какого цвета показатель преломленияводы является наибольшим?|Фиолетовый
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|Спектральная разрешающая способность.
Какие оптические явления лежат в основеголографии |Дифракция и интерференция световых волн
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|Полностью поляризованы
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|0
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |Изображение не изменится, станет менее ярким
Дисперсия называется аномальной, если (написать через длину волны)|С уменьшением длины волны показатель преломления среды уменьшается
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |Станет неполяризованным
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|Не изменится
В какой волне не может возникнуть поляризация? |В продольной
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|Да. Если число зон Френеля четное
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |Удвоенной сумме энергий составляющих колебаний.
Что представляет из себя излучение отдельногоатома? |Цуг волн
Отношение энергии отраженной волны к энергиипадающей называется|Коэффициент отражения
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|с/т
Как называют среды с постоянным коэффициентомпреломления?|прозрачные среды
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |Ферма
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |энергия равна 0
Дисперсия называется аномальной, если (написать через длину волны)|dn/dlambda>0 с ростом частоты показатель преломления уменьшается
